"year","age","Estimate","Low","High"
"2013","2",50507.7706042006,21554.5726758684,118352.376072043
"2013","3",37223.0905831411,16436.6753272109,84296.7598360317
"2013","4",1656.7248219236,655.096968417434,4189.81810007217
"2013","5",2683.39077808507,1043.35903217522,6901.35020243231
"2013","6",179.257461230528,63.5024329304932,506.015847329593
"2013","7",7.47534427532124,2.21770472738984,25.1975708688451
"2013","8",14.5667405904119,4.5179578872015,46.9658940446182
"2013","9",2.38764083708442,0.592426101075104,9.62285212715579
"2013","10",2.59453028371256,0.66162797450417,10.1742786769956
"2014","1",57884.8905654147,21099.8140825816,158800.477703549
"2014","2",30889.6135216455,12589.5842488534,75790.2885953942
"2014","3",32150.3236671223,14624.3472467686,70679.6203932534
"2014","4",17425.030374026,7756.60533047873,39144.918504831
"2014","5",565.954720512246,228.967136782197,1398.91143406655
"2014","6",391.220579971279,155.164776035694,986.393601069973
"2014","7",22.7416996470855,8.07445379110081,64.05199858946
"2014","8",2.28815871923175,0.628964388116334,8.32427149027696
"2014","9",2.96931344131939,0.857488462158385,10.2821468764806
"2014","10",1.26909599898602,0.325278646136988,4.95146138171031
"2015","1",83737.7897753564,30559.6709334883,229453.303071329
"2015","2",40580.5414352372,16752.5495862326,98300.2816795325
"2015","3",17180.3569007239,7695.522514561,38355.3764773945
"2015","4",13860.574860102,6251.74975502668,30729.8825097762
"2015","5",4816.90202621581,2084.53471216373,11130.8029531818
"2015","6",321.045709066389,127.334062834873,809.448351959073
"2015","7",57.7013407023788,21.5013903555808,154.847880243605
"2015","8",8.1244455029902,2.61356694523773,25.2553755515352
"2015","9",0.814708448423029,0.194993737161804,3.40395474025449
"2015","10",1.37317579769915,0.369814967283435,5.09879788056688
"2016","1",162698.056750456,60555.1717547746,437132.897212654
"2016","2",59248.2198453466,24589.6434347812,142757.318305692
"2016","3",20351.3395197948,8983.14565583977,46106.0118713219
"2016","4",8254.04466912941,3560.86390757406,19132.7877639667
"2016","5",5242.31217909868,2219.64829572656,12381.1673390043
"2016","6",1727.84734252654,699.985626594798,4265.02534573361
